Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1967,0.561,0,4.969,103.113,57.907,98.892,315.3,77.853,118.793,117.823,4.905,7.561
1968,0,8.138,6.347,66.533,36.23,201.078,246.331,28.798,179.771,86.997,56.336,8.228
1969,0,0.265,8.66,12.857,91.191,127.031,138.563,305.249,61.393,131.903,24.429,4.945
1970,1.596,0,0.821,67.262,95.757,50.866,175.523,229.531,118.177,97.542,0.379,0
1971,0,0,0,40.693,150.138,137.267,54.656,159.572,142.615,156.241,0.379,0
1972,0,0,0.226,44.736,38.645,54.965,102.509,18.336,112.629,38.033,31.864,1.935
1973,0,0,0,17.583,30.556,175.354,250.865,178.095,91.243,232.949,31.894,0.434
1974,0,0,16.72,40.67,192.876,70.79,144.377,165.656,178.352,180.155,4.14,0
1975,1.92,0,1.13,8.837,94.253,174.738,318.138,102.752,155.961,226.416,17.066,0
1976,0,0,2.11,48.449,13.878,134.306,130.282,207.325,22.026,19.392,42.446,0.612
1977,0,0.294,18.841,72.536,116.038,191.617,204.206,98.719,43.604,146.313,129.476,0.156
1978,0,3.32,0.088,44.055,150.72,74.424,262.847,142.607,192.029,112.388,82.257,14.735
1979,0,4.14,2.023,2.883,49.777,77.753,159.493,92.987,221.143,31.52,143.266,0
1980,0,0,5.035,65.37,31.115,137.176,176.521,149.392,99.406,33.706,26.616,7.185
1981,2.425,0,25.105,55.81,48.969,198.783,85.806,123.198,250.909,64.039,58.579,2.768
1982,0,0,0,25.17,118.072,166.156,207.876,66.728,140.828,91.075,104.155,0
1983,0,0,0,0.399,24.616,173.581,188.729,156.273,170.704,98.613,7.321,15.876
1984,0,0.434,6.822,26.779,4.483,44.332,320.667,74.152,122.716,110.283,1.244,11.516
1985,0.032,0,5,17.215,44.003,100.173,136.579,100.407,50.672,106.556,13.721,3.291
1986,0.861,1.123,0,46.364,5.049,136.291,115.66,145.991,40.895,32.81,66.554,15.9
