Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Rice,2012,,,96.71,20.61,20.64,1.6
Rice,2013,,,96.71,20.61,20.64,2.56
Rice,2014,,,96.71,20.61,20.64,1.39
Rice,2015,,,96.71,20.61,20.64,2.09
Rice,2016,,,96.71,20.61,20.64,3.68
Rice,2017,,,96.71,20.61,20.64,2.95
Soyabean,1997,657.689,27.69,96.71,20.61,20.64,1
Soyabean,1998,757.61,28.16,96.71,20.61,20.64,0.91
Soyabean,1999,568.029,27.4,96.71,20.61,20.64,1.03
Soyabean,2000,733.168,27.42,96.71,20.61,20.64,0.81
Soyabean,2001,601.898, 27.76,96.71,20.61,20.64,0.81
Soyabean,2002,525.402,27.85,96.71,20.61,20.64,0.48
Soyabean,2003,,,96.71,20.61,20.64,0.62
Soyabean,2004,,,96.71,20.61,20.64,0.56
Soyabean,2005,,,96.71,20.61,20.64,0.74
Soyabean,2006,,,96.71,20.61,20.64,0.82
Soyabean,2007,,,96.71,20.61,20.64,0.69
Soyabean,2008,,,96.71,20.61,20.64,0.1
Soyabean,2009,,,96.71,20.61,20.64,0.37
Soyabean,2010,,,96.71,20.61,20.64,0.37
Soyabean,2011,,,96.71,20.61,20.64,0.76
Soyabean,2012,,,96.71,20.61,20.64,1.38
Soyabean,2013,,,96.71,20.61,20.64,0.61
Soyabean,2014,,,96.71,20.61,20.64,0.7
Soyabean,2015,,,96.71,20.61,20.64,0.84
Soyabean,2016,,,96.71,20.61,20.64,1.96
Sugarcane,1997,657.689,27.69,96.71,20.61,20.64,81.7
Sugarcane,1998,757.61,28.16,96.71,20.61,20.64,95
Sugarcane,1999,568.029,27.4,96.71,20.61,20.64,70.3
Sugarcane,2000,733.168,27.42,96.71,20.61,20.64,73.15
Sugarcane,2001,601.898, 27.76,96.71,20.61,20.64,50.35
Sugarcane,2002,525.402,27.85,96.71,20.61,20.64,32.3
Sugarcane,2003,,,96.71,20.61,20.64,60.8
Sugarcane,2004,,,96.71,20.61,20.64,60.8
Sugarcane,2005,,,96.71,20.61,20.64,62.7
Sugarcane,2006,,,96.71,20.61,20.64,51.3
Sugarcane,2007,,,96.71,20.61,20.64,63.65
Sugarcane,2008,,,96.71,20.61,20.64,66.5
Sugarcane,2009,,,96.71,20.61,20.64,40.85
Sugarcane,2010,,,96.71,20.61,20.64,49.4
Sugarcane,2011,,,96.71,20.61,20.64,60.8
Sugarcane,2012,,,96.71,20.61,20.64,66.5
Sugarcane,2013,,,96.71,20.61,20.64,38
Sugarcane,2014,,,96.71,20.61,20.64,68.4
Sugarcane,2015,,,96.71,20.61,20.64,60.8
Sugarcane,2016,,,96.71,20.61,20.64,51.3
Sugarcane,2017,,,96.71,20.61,20.64,0.33
Wheat,1997,657.689,27.69,96.71,20.61,20.64,0.5
Wheat,1998,757.61,28.16,96.71,20.61,20.64,0.52
Wheat,1999,568.029,27.4,96.71,20.61,20.64,0.74
Wheat,2000,733.168,27.42,96.71,20.61,20.64,0.59
Wheat,2001,601.898, 27.76,96.71,20.61,20.64,0.48
Wheat,2002,525.402,27.85,96.71,20.61,20.64,0.44
Wheat,2003,,,96.71,20.61,20.64,0.7
Wheat,2004,,,96.71,20.61,20.64,0.75
Wheat,2005,,,96.71,20.61,20.64,0.7
Wheat,2006,,,96.71,20.61,20.64,0.96
Wheat,2007,,,96.71,20.61,20.64,1.09
Wheat,2008,,,96.71,20.61,20.64,1.07
Wheat,2009,,,96.71,20.61,20.64,1.5
Wheat,2010,,,96.71,20.61,20.64,1.51
Wheat,2011,,,96.71,20.61,20.64,1.31
Wheat,2012,,,96.71,20.61,20.64,1.75
Wheat,2013,,,96.71,20.61,20.64,1.68
Wheat,2014,,,96.71,20.61,20.64,1.02
Wheat,2015,,,96.71,20.61,20.64,2.01
Wheat,2016,,,96.71,20.61,20.64,2.09
Wheat,2017,,,96.71,20.61,20.64,1.07
