Crop,Year,Rainfall,Temp,N,P,K,Yield
Soyabean,2008,3132.564,25.51,95.18,42.79,21.28,1
Soyabean,2009,2660.256,24.56,95.18,42.79,21.28,1.08
Soyabean,2010,1998.145,25.07,95.18,42.79,21.28,0.91
Soyabean,2011,2083.564,25.58,95.18,42.79,21.28,1.04
Soyabean,2012,1737.4458,25.2,95.18,42.79,21.28,1
Soyabean,2013,3012.254,24.35,95.18,42.79,21.28,1.08
Soyabean,2014,2343.564,26.34,95.18,42.79,21.28,0.91
Soyabean,2015,2084.145,27.58,95.18,42.79,21.28,1.04
Soyabean,2016,2300.146,25.35,95.18,42.79,21.28,1
Sugarcane,1997,2761.458,26.56,95.18,42.79,21.28,110.2
Sugarcane,1998,2931.677,26.48,95.18,42.79,21.28,114
Sugarcane,1999,2127.181,25.98,95.18,42.79,21.28,77.9
Sugarcane,2000,2244.44,25.89,95.18,42.79,21.28,80.75
Sugarcane,2001,1899.461, 26.24,95.18,42.79,21.28,97.85
Sugarcane,2002,1923.742,26.45,95.18,42.79,21.28,85.5
Sugarcane,2003,2339.082,24.53,95.18,42.79,21.28,88.35
Sugarcane,2004,2304.524,25.57,95.18,42.79,21.28,78.85
Sugarcane,2005,3532.256,27.2,95.18,42.79,21.28,77.9
Sugarcane,2006,2565.256,28.36,95.18,42.79,21.28,57
Sugarcane,2007,2669.568,27.86,95.18,42.79,21.28,78.85
Sugarcane,2008,3132.564,25.51,95.18,42.79,21.28,78.85
Sugarcane,2009,2660.256,24.56,95.18,42.79,21.28,76.95
Sugarcane,2010,1998.145,25.07,95.18,42.79,21.28,56.05
Sugarcane,2011,2083.564,25.58,95.18,42.79,21.28,57
Sugarcane,2012,1737.4458,25.2,95.18,42.79,21.28,95
Sugarcane,2013,3012.254,24.35,95.18,42.79,21.28,69.35
Sugarcane,2014,2343.564,26.34,95.18,42.79,21.28,74.1
Sugarcane,2015,2084.145,27.58,95.18,42.79,21.28,57
Sugarcane,2016,2300.146,25.35,95.18,42.79,21.28,57
Sugarcane,2017,2761.458,26.56,95.18,42.79,21.28,78.85
Wheat,1997,2662.193, 26.33,95.18,42.79,21.28,0.57
Wheat,1998,2931.677,26.48,95.18,42.79,21.28,0.94
Wheat,1999,2127.181,25.98,95.18,42.79,21.28,0.47
Wheat,2000,2244.44,25.89,95.18,42.79,21.28,0.5
Wheat,2001,1899.461, 26.24,95.18,42.79,21.28,0.76
Wheat,2002,1923.742,26.45,95.18,42.79,21.28,0.17
Wheat,2003,2339.082,24.53,95.18,42.79,21.28,1
Wheat,2004,2304.524,25.57,95.18,42.79,21.28,1.5
Wheat,2005,3532.256,27.2,95.18,42.79,21.28,1.14
Wheat,2006,2565.256,28.36,95.18,42.79,21.28,1.2
Wheat,2007,2669.568,27.86,95.18,42.79,21.28,1.5
Wheat,2008,3132.564,25.51,95.18,42.79,21.28,1.11
Wheat,2009,2660.256,24.56,95.18,42.79,21.28,1
Wheat,2010,1998.145,25.07,95.18,42.79,21.28,0.5
Wheat,2011,2083.564,25.58,95.18,42.79,21.28,0.57
Wheat,2012,1737.4458,25.2,95.18,42.79,21.28,0.94
Wheat,2013,3012.254,24.35,95.18,42.79,21.28,0.47
Wheat,2014,2343.564,26.34,95.18,42.79,21.28,0.5
Wheat,2015,2084.145,27.58,95.18,42.79,21.28,0.76
Wheat,2016,2300.146,25.35,95.18,42.79,21.28,0.17
Wheat,2017,2761.458,26.56,95.18,42.79,21.28,1
