Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,22.156,25.484,28.331,30.183,30.369,28.129,25.658,25.524,25.533,26.243,23.488,22.27
1963,22.968,24.725,28.583,29.435,30.506,26.802,25.951,24.946,25.773,25.727,24.428,23.463
1964,23.555,26.042,29.479,31.289,30.903,27.847,25.841,24.935,25.075,25.808,23.255,21.871
1965,23.274,25.114,28.27,30.088,30.559,27.62,25.214,26.123,26.231,27.065,25.218,24.199
1966,24.161,26.564,29.473,31.328,30.339,28.462,26.619,26.527,26.007,26.344,24.941,22.813
1967,23.574,25.733,28.355,31.225,31.599,28.566,25.752,25.615,25.629,25.808,24.113,24.404
1968,22.908,26.005,28.233,30.565,31.091,28.153,25.879,25.824,26.092,25.319,24.019,23.654
1969,23.364,26.68,30.314,32.037,31.361,28.572,25.806,26.256,25.383,26.318,25.3,23.047
1970,24.015,26.403,29.492,31.524,31.055,26.876,26.103,25.243,25.6,26.103,23.653,21.152
1971,22.559,26.121,28.324,31.508,30.91,26.952,26.429,25.759,26.687,25.206,23.301,21.91
1972,23.124,25.028,29.818,31.097,31.051,29.405,26.811,26.665,27.277,27.369,24.832,24.045
1973,24.964,26.758,30.125,32.271,32.301,27.711,25.917,25.245,25.64,24.918,23.142,22.532
1974,23.627,26.093,29.427,31.546,29.423,26.898,26.147,25.566,25.798,25.109,23.858,21.963
1975,22.382,25.962,28.901,31.567,30.757,27.31,25.479,25.862,25.576,25.821,22.656,21.302
1976,21.787,24.489,28.829,30.053,30.786,27.453,25.824,25.29,26.232,27.557,25.682,23.891
1977,23.352,26.46,29.331,30.097,29.86,27.488,25.927,25.503,27.148,26.274,25.756,22.35
1978,23.779,24.886,28.14,30.021,30.229,26.694,25.2,24.416,25.475,25.934,25.139,23.404
1979,24.104,25.457,28.64,31.073,29.816,28.46,26.571,25.731,25.539,27.134,24.75,23.464
1980,24.07,26.77,28.971,29.715,31.24,26.709,26.046,24.801,26.49,28.183,25.835,23.439
1981,23.162,26.429,28.052,31.01,30.089,27.354,26.506,25.39,25.581,26.334,24.486,22.877
1982,24.217,27.057,29.359,30.6,30.429,28.102,26.16,26.183,26.169,27.019,24.845,23.474
1983,23.441,25.51,29.346,31.611,32.147,29.028,26.511,26.005,25.39,25.634,23.699,23.052
1984,24.27,25.593,29.331,31.225,32.803,27.908,25.758,25.519,26.217,26.15,23.815,24.108
1985,24.827,26.31,29.64,31.114,30.871,27.334,25.757,25.921,26.91,25.712,24.889,24.33
1986,23.216,25.996,30.08,31.931,31.357,27.439,26.67,25.604,27.018,28.225,25.829,24.143
1987,24.547,25.656,29.229,31.896,30.599,28.602,26.695,26.522,27.973,26.617,24.805,22.848
1988,23.886,26.922,29.544,31.132,31.673,28.271,25.88,25.788,25.944,27.056,24.777,23.062
1989,23.976,25.261,27.725,31.316,31.618,27.251,25.609,25.364,25.777,26.731,24.89,23.111
1990,24.163,25.127,27.897,31.01,28.33,26.272,25.602,25.583,26.622,25.972,25.241,23.371
1991,24.262,26.332,29.778,30.495,31.325,26.978,25.071,25.973,27.116,26.861,24.871,23.049
1992,22.383,24.42,29.049,31.2,31.312,28.324,26.912,25.743,26.94,26.984,25.076,22.365
1993,24.038,24.943,27.993,31.493,31.63,29.134,26.426,25.688,26.016,26.202,25.23,21.911
1994,23.744,25.336,30.078,29.905,31.722,27.358,25.553,25.982,27.177,25.961,24.032,22.15
1995,21.69,25.558,28.914,31.644,29.893,30.025,26.283,27.276,26.784,26.189,25.155,24.006
1996,24.758,26.405,30.329,31.107,32.043,28.735,26.698,25.932,26.155,25.641,24.833,23.076
1997,22.895,24.821,29.218,29.693,31.113,28.699,26.519,25.949,26.556,27.008,26.338,25.152
1998,24.853,26.074,29.835,32.32,32.25,29.582,26.876,26.524,26.473,26.324,24.973,22.382
1999,22.794,26.898,29.945,31.852,30.37,27.087,25.989,25.866,25.81,26.357,24.749,22.966
2000,24.416,25.636,28.738,31.941,30.379,27.008,25.558,25.943,26.475,26.971,25.076,22.762
2001,24.281,26.81,28.862,31.216,31.61,27.644,26.154,25.643,26.833,26.13,25.601,23.423
2002,23.46,26.829,30.286,32.152,31.632,27.912,26.68,25.505,26.485,27.012,24.787,23.713
