Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,19.588,20.984,21.785,22.699,22.511,21.654,20.364,20.175,20.43,21.138,20.856,20.275
1963,20.227,20.468,21.988,22.396,22.788,20.726,20.653,20.057,20.608,20.823,21.373,20.817
1964,19.957,21.08,22.266,23.529,23.153,21.251,20.582,19.89,19.937,20.851,20.195,19.78
1965,19.882,20.443,21.66,22.629,22.813,20.765,19.901,20.279,20.528,21.798,21.607,20.908
1966,20.534,21.451,22.286,23.275,22.444,21.483,20.713,21.088,20.856,21.062,20.929,20.245
1967,20.022,20.651,21.528,23.231,23.439,21.675,20.166,20.201,20.335,20.745,21.131,21.139
1968,19.997,21.017,21.765,22.691,23.193,21.235,20.145,20.489,20.706,20.842,21.027,20.471
1969,20.09,21.381,22.728,23.476,23.459,21.594,20.069,20.657,20.088,21,21.261,20.583
1970,20.454,20.888,21.832,23.164,22.551,20.664,20.294,19.913,20.025,20.703,20.618,19.458
1971,19.593,20.805,21.521,23.081,22.48,20.13,20.063,20.03,20.755,20.154,20.34,19.97
1972,19.608,20.049,22.023,23.082,22.358,21.78,20.731,20.652,20.952,21.573,21.404,20.916
1973,20.665,21.196,22.339,23.761,23.336,20.878,20.459,19.709,20.533,20.583,20.348,19.87
1974,20.092,20.696,21.929,23.334,22.631,20.674,19.94,20.18,20.652,20.37,20.337,19.816
1975,19.537,21.073,21.765,23.328,22.151,21.092,19.922,20.005,19.996,20.354,20.021,19.445
1976,19.251,20.227,22.153,22.518,22.499,21.079,20.279,20.536,20.559,21.912,21.857,21.228
1977,20.189,21.258,22.41,22.961,22.599,21.111,20.081,20.605,20.643,21.167,21.63,20.052
1978,20.471,20.633,21.854,22.792,22.395,20.241,19.994,20.16,20.21,21.049,21.455,20.678
1979,20.995,20.759,21.858,22.867,22.883,21.617,20.463,20.1,20.624,21.422,21.126,21.109
