Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,22.666,24.031,25.825,26.556,25.776,25.126,23.799,23.485,24.02,23.773,23.276,22.747
1963,22.466,23.282,25.789,26.676,26.757,24.495,24.06,23.75,24.63,24.167,23.722,22.741
1964,22.52,24.319,26.385,28.216,27.473,24.667,23.889,23.411,23.334,24.279,22.44,22.056
1965,22.009,23.686,25.8,26.621,26.627,24.553,23.507,23.478,24.278,25.21,24.027,22.791
1966,23.466,24.865,26.594,27.415,26.529,24.82,23.705,24.516,24.187,23.874,23.29,22.669
1967,22.292,23.361,25.291,27.388,26.622,24.557,22.67,23.074,23.728,23.338,23.189,22.964
1968,22.516,24.184,25.745,26.57,26.823,24.524,23.032,23.917,24.125,24.033,23.494,22.674
1969,22.622,24.575,26.823,27.678,26.627,24.762,23.336,23.914,23.602,23.802,23.394,22.538
1970,22.907,23.921,26.052,27.314,26.001,24.099,23.401,23.225,23.845,23.671,22.767,21.849
1971,23.049,23.901,25.322,27.027,26.139,23.201,23.264,23.42,24.04,23.637,22.481,21.782
1972,21.767,23.894,25.411,27.392,25.828,25.366,23.586,23.919,24.744,24.294,23.544,22.913
1973,23.076,24.541,26.529,28.202,27.232,24.682,23.951,22.898,24.124,23.97,23.183,22.263
1974,22.587,23.778,26.172,27.682,26.107,24.546,23.465,23.14,23.722,23.631,23.322,22.447
1975,22.417,24.881,26.34,27.796,26.197,23.784,23.038,23.284,23.45,23.38,22.626,21.894
1976,21.249,23.195,26.308,26.531,26.928,25.127,23.786,23.519,24.343,24.647,23.482,22.993
1977,22.696,24.391,26.195,27.45,25.7,24.468,23.447,24.016,24.446,24.076,23.567,22.62
1978,22.89,24.059,26.082,27.366,25.8,23.345,22.758,23.181,24.043,24.401,23.762,22.793
1979,23.537,24.709,26.239,27.507,26.562,24.513,22.387,23.622,23.949,24.151,23.451,23.474
1980,22.581,24.326,26.125,27.177,26.986,23.472,23.173,23.438,24.469,24.328,23.708,23.403
1981,23.237,24.446,25.911,27.282,26.534,23.769,23.758,23.112,23.927,24.228,23.358,22.517
1982,22.578,24.617,26.592,27.742,26.553,24.311,23.802,23.97,24.627,25.148,24.075,22.782
1983,22.95,25.787,27.306,28.284,27.676,25.341,24.298,23.833,23.855,24.346,23.458,23.028
1984,23.241,23.766,25.208,26.687,27.497,23.848,23.257,23.599,24.31,23.883,23.61,22.972
1985,23.577,25.016,26.814,27.663,26.842,23.696,23.451,23.781,24.739,23.962,23.157,23.379
1986,22.777,24.103,26.538,28.011,27.128,24.367,24.164,23.483,24.411,24.802,23.592,23.49
1987,22.937,23.659,25.762,27.439,26.954,24.698,24.786,24.025,25.551,24.813,24.184,23.269
1988,22.838,25.388,26.975,26.971,26.707,25.012,23.777,23.774,24.063,24.74,23.718,22.807
1989,22.888,23.993,25.636,27.352,26.685,24.195,23.387,23.6,24.256,24.616,23.614,23.002
1990,22.826,24.65,26.527,27.919,25.78,24.369,23.566,23.43,24.727,24.429,23.702,22.955
1991,24.019,24.765,26.958,27.265,27.261,24.319,23.194,23.095,24.829,24.145,23.133,22.506
1992,21.907,24.535,25.851,27.441,26.343,24.434,23.521,23.66,24.341,24.15,23.799,22.169
1993,22.669,24.208,26.148,27.475,27.13,24.672,23.595,24.046,24.068,24.165,23.564,22.535
1994,23.021,24.557,26.463,26.941,26.99,24.495,23.267,24.059,24.564,24.264,23.154,22.166
1995,23.007,24.993,25.96,27.296,25.835,25.392,23.844,24.173,24.561,24.628,24.613,22.829
1996,23.409,24.444,26.609,27.044,27.591,24.716,24.083,23.808,24.311,24.181,24.091,22.417
1997,23.207,24.683,26.16,26.288,26.973,25.794,24.237,24.059,24.965,24.832,24.649,23.929
1998,23.954,25.697,27.346,28.171,27.325,25.584,23.955,24.286,24.338,24.456,24.257,23.24
1999,23.275,24.424,26.996,27.101,25.212,24.225,23.727,24.124,25.085,24.604,23.892,22.832
2000,23.627,24.937,26.19,27.306,26.326,23.903,23.621,23.586,24.651,24.324,24.125,22.663
2001,23.741,25.946,26.852,27.35,26.632,24.625,24.084,23.723,25.027,24.235,24.092,22.962
2002,23.879,24.127,26.806,27.728,26.784,24.762,24.382,24.319,25.649,25.027,24.093,23.522
