Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,22.109,25.63,28.829,30.969,31.44,29.209,26.65,26.446,26.105,26.469,23.463,22.111
1963,22.583,24.771,29.094,30.236,31.762,27.76,26.856,25.651,26.486,26.016,24.332,23.284
1964,23.668,26.502,30.217,32.259,32.443,28.95,26.646,25.721,25.671,26.137,23.247,21.751
1965,23.262,25.527,28.949,30.987,31.847,28.846,26.145,26.864,26.819,27.282,25.295,24.308
1966,24.315,26.944,30.334,32.33,31.921,29.637,27.719,27.292,26.493,26.608,25.131,22.723
1967,23.683,25.921,28.868,32.227,32.749,29.629,26.567,26.459,26.242,26.073,24.075,24.347
1968,22.839,26.461,28.699,31.356,32.263,29.157,26.801,26.642,26.513,25.534,24.122,23.887
1969,23.572,27.098,31.097,33.166,32.355,29.759,26.899,27.108,25.952,26.555,25.245,22.727
1970,24.015,26.95,30.442,32.486,32.325,27.74,27.139,25.958,26.337,26.372,23.58,21.007
1971,23.017,26.665,28.902,32.538,31.91,27.717,27.689,26.954,27.37,25.817,23.165,21.763
1972,22.963,25.675,30.283,32.136,32.401,30.639,27.731,27.432,28.029,27.429,24.84,24.155
1973,25.063,27.324,30.851,33.641,33.844,28.944,26.926,26.116,26.617,25.611,23.298,22.638
1974,23.53,26.614,30.113,32.71,30.901,28.178,27.515,26.547,26.663,25.734,23.721,21.782
1975,22.5,26.393,29.416,32.576,32.447,28.386,26.599,26.647,26.144,26.298,22.753,21.159
1976,21.842,25.048,29.751,31.368,32.336,28.785,26.662,25.971,26.833,27.832,25.775,23.854
1977,23.35,26.848,30.078,31.361,30.905,28.637,27.143,26.249,27.833,26.684,25.967,22.514
1978,23.969,25.452,29.018,31.38,31.961,27.783,26.074,25.243,26.247,26.452,25.368,23.537
1979,24.315,26.134,29.404,32.171,31.127,30.031,27.744,26.755,26.601,27.526,25.119,23.535
1980,24.376,27.527,29.971,31.284,32.998,28.05,27.002,25.609,27.286,28.467,25.865,23.542
1981,23.389,27.056,28.899,32.221,31.797,28.596,27.587,26.051,26.32,26.633,24.549,22.985
1982,24.453,27.76,30.237,31.625,31.567,29.135,27.205,27.089,27.03,27.254,25.004,23.531
1983,23.594,26.513,30.443,32.749,33.357,30.314,27.604,26.679,26.109,26.026,23.745,22.975
1984,24.48,25.959,30.018,32.251,34.312,29.113,26.66,26.501,27.197,26.715,23.868,24.14
1985,24.984,26.993,30.572,32.503,32.462,28.266,26.868,26.777,27.822,25.902,24.811,24.221
1986,23.2,26.484,30.759,32.942,32.926,28.551,27.633,26.469,28.088,28.583,25.986,24.294
1987,24.659,26.079,29.883,32.976,31.744,29.82,27.463,27.228,28.799,27.039,24.903,23.082
1988,24.13,27.453,30.461,32.023,33.387,29.544,26.777,26.596,26.735,27.184,24.717,23.149
1989,24.162,25.741,28.42,32.47,33.061,28.35,26.473,26.257,26.62,27.04,24.979,23.124
1990,24.239,26.1,29.061,32.274,29.123,27.138,26.688,26.449,27.3,26.14,25.514,23.53
1991,24.419,26.941,30.776,31.843,32.999,27.95,26.148,26.794,27.978,27.373,24.771,23.067
1992,22.568,25.323,29.918,32.277,32.756,29.606,27.997,26.48,27.424,27.417,25.308,22.478
1993,24.271,25.467,29.146,32.442,33.154,30.418,27.534,26.544,26.83,26.778,25.211,21.937
1994,23.965,26.213,30.934,31.083,33.164,28.657,26.531,26.725,27.901,26.512,24.045,22.04
1995,21.899,26.159,29.731,32.471,30.895,31.142,27.193,27.907,27.442,26.445,25.385,24.08
1996,25.032,26.936,30.984,31.749,33.465,29.804,27.702,26.579,26.904,26.079,24.884,23.129
1997,23.056,25.518,29.893,30.575,32.407,30.017,27.574,26.871,27.243,27.271,26.597,25.347
1998,25.264,27.009,30.711,33.475,33.671,30.889,28.092,27.202,27.18,26.802,25.218,22.432
1999,23.054,27.266,30.737,33.114,31.485,28.174,27.033,26.619,26.5,26.775,24.973,23.123
2000,24.615,26.432,29.523,33.155,31.527,27.746,26.5,26.637,27.058,27.542,25.403,22.959
2001,24.5,27.496,29.915,32.162,33.163,28.505,27.311,26.44,27.652,26.623,25.881,23.551
2002,23.784,27.137,30.957,33.393,32.94,28.88,27.836,26.176,27.245,27.301,24.761,23.805
