Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,22.017,25.123,27.511,28.985,28.715,27.072,24.911,24.679,24.889,25.418,23.048,21.993
1963,22.335,24.241,27.708,28.515,29.062,25.848,25.317,24.318,25.125,24.82,23.99,23.155
1964,23.162,25.612,28.464,30.129,29.548,26.872,25.243,24.183,24.311,24.977,22.717,21.593
1965,22.646,24.505,27.444,28.896,29.216,26.476,24.465,25.176,25.439,26.325,24.708,23.668
1966,23.79,26.085,28.618,30.191,28.915,27.237,25.669,25.779,25.262,25.248,24.101,22.454
1967,23.116,25.008,27.318,30.076,30.108,27.479,24.782,24.64,24.808,24.782,23.614,23.819
1968,22.713,25.657,27.454,29.404,29.818,26.973,25.013,25.02,25.334,24.651,23.711,23.219
1969,22.978,26.156,29.275,30.654,29.822,27.425,24.93,25.43,24.593,25.408,24.515,22.667
1970,23.594,25.658,28.469,30.279,29.363,25.93,25.225,24.388,24.799,25.125,23.433,21.141
1971,22.372,25.557,27.419,30.005,29.089,25.764,25.036,24.853,25.819,24.294,22.88,21.858
1972,22.629,24.699,28.717,29.905,29.198,27.907,25.767,25.78,26.21,26.293,24.499,23.713
1973,24.7,25.926,28.9,30.8,30.24,26.63,25.352,24.871,25.493,24.455,22.453,21.659
1974,23.333,25.145,27.809,30.339,29.026,26.142,25.045,24.875,25.053,24.319,23.906,21.663
1975,22.277,25.7,28.058,30.42,28.561,26.018,24.745,25.074,24.798,24.717,22.822,21.282
1976,21.353,23.886,27.776,28.636,29.073,26.79,25.052,24.793,25.107,26.768,25.182,23.806
1977,23.187,25.602,28.395,29.329,28.119,26.355,24.273,24.622,26.035,24.986,24.637,21.749
1978,23.179,24.433,27.562,29.159,27.971,25.718,24.661,23.602,24.693,25.039,24.608,23.219
1979,23.708,25.196,27.844,30.029,28.8,26.596,25.508,24.5,24.817,25.768,24.002,23.566
1980,23.468,26.307,27.947,29.159,29.928,25.707,25.109,24.332,25.263,26.502,24.917,23.584
1981,23.222,25.773,27.579,29.893,29.184,25.981,25.423,24.544,24.993,25.404,24.368,22.569
1982,23.524,26.417,28.912,29.837,29.629,27.168,25.557,25.22,25.433,26.166,24.291,22.853
1983,23.303,25.493,28.77,30.743,30.29,27.514,25.859,25.187,25.021,24.995,23.34,22.92
