Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,22.515,24.848,26.264,27.52,27.748,26.272,24.459,24.536,24.713,25.862,24.264,23.38
1963,23.252,24.035,26.521,27.013,27.817,25.16,24.965,24.208,24.777,25.09,25.257,24.687
1964,23.392,25.012,26.94,28.377,28.103,26.072,24.952,23.999,24.113,25.22,23.962,22.957
1965,23.163,23.882,25.947,27.32,27.976,25.538,24.051,25.029,25.219,26.721,25.863,24.856
1966,24.1,25.51,27.011,28.582,27.382,26.343,25.171,25.636,25.242,25.658,25.04,23.763
1967,23.614,24.696,26.069,28.419,29.045,26.801,24.594,24.442,24.613,25.17,24.963,25.199
1968,23.358,25.105,26.257,28.013,28.833,26.272,24.694,24.784,25.343,25.113,24.87,24.334
1969,23.329,25.582,27.733,28.796,28.975,26.471,24.429,25.141,24.42,25.827,25.763,24.286
1970,24.159,24.889,26.745,28.682,28.196,25.359,24.765,24.336,24.447,25.463,24.886,22.55
1971,22.787,24.817,26.14,28.295,28.164,25.007,24.531,24.436,25.487,24.557,24.274,23.415
1972,23.226,23.722,27.321,28.348,27.857,27.173,25.277,25.283,25.794,26.667,25.664,24.898
1973,24.684,25.353,27.38,29.35,29.048,25.873,24.91,24.772,24.845,24.927,24.072,23.413
1974,23.927,24.734,26.709,28.523,28.17,25.513,24.364,24.629,25.065,24.781,24.398,23.186
1975,22.931,25.169,26.833,28.972,27.148,25.216,24.612,24.582,24.706,24.803,23.567,22.75
1976,22.326,23.566,26.341,27.266,27.477,25.512,24.974,24.974,25.243,26.932,26.579,24.997
1977,23.685,25.084,26.592,27.584,27.418,25.942,24.089,25.176,25.374,25.81,25.741,22.97
1978,23.851,23.79,25.967,27.917,27.599,24.908,24.581,24.329,24.484,25.797,25.539,24.528
1979,24.452,23.789,26.34,28.376,28.208,25.854,24.848,24.309,24.96,26.163,25.047,24.828
1980,23.336,25.099,26.31,27.694,28.488,25.344,24.383,24.56,25.013,26.423,25.718,23.766
1981,23.009,24.802,26.566,27.972,27.781,25.374,24.772,24.226,24.942,25.671,24.885,24.222
1982,23.653,25.451,27.261,27.922,28.208,26.3,25.121,24.843,24.889,26.65,25.356,24.64
1983,23.589,24.163,26.98,28.492,28.863,27.406,25.54,25.178,24.799,25.14,24.109,24.435
1984,24.145,25.228,26.72,27.895,29.364,25.416,24.588,24.407,24.724,25.164,24.603,24.936
1985,24.927,25.159,27.704,28.349,27.851,25.249,24.591,24.519,25.402,24.973,25.105,25.446
1986,23.301,24.615,27.863,29.04,28.538,25.987,25.105,24.442,25.637,26.526,25.557,24.917
1987,23.426,24.578,26.352,28.662,28.46,26.385,25.564,25.695,26.103,25.645,25.628,24.36
1988,23.894,25.576,27.311,28.678,29.229,26.393,25.016,24.893,25.099,25.77,25.323,23.758
1989,23.936,24.997,26.085,28.36,28.376,25.4,24.944,24.442,24.882,25.457,25.041,24.413
1990,23.72,24.356,25.991,28.63,27.983,25.389,24.338,23.904,24.652,25.89,24.866,24.551
