Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,22.157,24.797,26.503,28.057,28.313,26.374,24.223,24.321,24.637,25.916,24.063,23.055
1963,23.279,24.064,26.817,27.348,28.243,25.2,24.689,23.874,24.676,25.24,25.023,24.369
1964,23.127,24.863,27.288,28.854,28.339,26.118,24.587,23.732,24.118,25.253,23.81,22.656
1965,23.134,23.902,26.233,27.859,28.261,25.672,23.853,24.825,25.255,26.717,25.668,24.654
1966,23.835,25.443,27.24,28.982,27.735,26.522,25.09,25.344,25.227,25.905,25.067,23.541
1967,23.409,24.744,26.478,28.898,29.447,26.902,24.504,24.337,24.645,25.434,24.746,25.089
1968,23.007,24.904,26.492,28.473,29.049,26.442,24.569,24.555,25.361,25.077,24.556,24.024
1969,23.171,25.528,28.081,29.392,29.446,26.623,24.278,24.918,24.452,25.978,25.74,24.05
1970,23.936,25.002,27.104,29.156,28.667,25.388,24.597,24.129,24.434,25.645,24.456,22.045
1971,22.596,24.801,26.421,28.717,28.581,25.161,24.705,24.332,25.335,24.63,24.274,22.934
1972,23.115,23.588,27.432,28.692,28.39,27.572,25.114,25.156,25.775,26.777,25.39,24.543
1973,23.995,25.446,27.691,29.712,29.905,26.055,24.769,24.363,24.352,25.13,24.456,23.691
1974,23.741,24.898,27.772,28.974,27.87,25.411,24.402,24.397,25.026,24.828,23.903,22.858
1975,22.754,24.951,26.959,29.342,28.283,25.437,24.293,24.543,24.664,25.088,23.167,22.235
1976,22.288,23.833,26.678,27.708,27.934,25.505,24.736,24.421,25.368,27.048,26.258,24.473
1977,23.379,25.281,26.94,27.961,27.931,26.022,24.115,24.853,25.708,26.02,25.702,22.78
1978,23.561,23.722,25.977,28.167,28.144,25.03,24.248,23.917,24.461,25.86,25.339,24.351
1979,24.011,23.666,26.599,28.804,28.197,25.995,24.805,24.295,24.918,26.539,25.138,24.336
1980,23.287,25.09,26.606,27.965,28.803,25.308,24.388,24.144,25.202,26.95,26.011,23.344
1981,22.649,25,26.657,28.428,27.927,25.574,24.747,24.142,24.788,25.96,24.629,23.786
1982,23.701,25.468,27.262,28.192,28.387,26.402,24.844,24.689,24.869,26.705,25.161,24.351
1983,23.264,23.727,26.877,28.735,29.372,27.657,25.167,24.957,24.636,25.189,23.815,23.821
1984,23.791,25.084,27.287,28.711,29.929,25.858,24.438,24.18,24.781,25.373,24.323,24.466
1985,24.584,24.974,28.029,28.756,28.292,25.568,24.322,24.42,25.444,24.965,24.921,24.892
1986,23.294,24.652,28.07,29.384,28.914,25.992,25.007,24.246,25.761,26.915,25.556,24.4
1987,23.569,24.721,26.924,29.087,28.648,26.601,25.272,25.43,26.372,25.874,25.475,23.938
1988,23.828,25.482,27.313,29.158,29.59,26.391,24.673,24.626,25.059,26.032,25.02,23.494
