Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,21.546,24.796,27.212,28.818,28.665,26.652,24.24,24.211,24.491,25.46,22.941,21.835
1963,22.298,23.957,27.451,28.103,28.768,25.356,24.642,23.728,24.628,24.739,23.93,23.12
1964,22.808,25.189,28.181,29.735,29.116,26.416,24.544,23.636,23.965,24.824,22.688,21.435
1965,22.51,24.101,27.039,28.681,28.881,25.977,23.766,24.768,25.109,26.23,24.649,23.605
1966,23.447,25.654,28.245,29.952,28.529,26.862,25.124,25.274,24.98,25.388,24.081,22.333
1967,22.886,24.845,27.121,29.796,29.98,27.174,24.373,24.267,24.497,24.897,23.625,23.913
1968,22.389,25.193,27.126,29.22,29.559,26.639,24.476,24.511,25.066,24.565,23.555,23.123
1969,22.685,25.789,28.994,30.424,29.768,27.003,24.31,24.912,24.242,25.423,24.642,22.707
1970,23.382,25.309,28.152,30.042,29.25,25.497,24.647,23.949,24.41,25.158,23.377,20.885
1971,21.916,25.161,27.17,29.908,29.224,25.488,24.676,24.283,25.531,24.222,22.83,21.723
1972,22.511,24.052,28.628,29.668,29.205,27.77,25.294,25.243,25.967,26.467,24.393,23.567
1973,24.292,25.648,28.764,30.574,30.33,26.262,24.594,24.278,24.657,24.124,22.542,21.913
1974,23.116,25.008,27.951,30.028,28.44,25.576,24.478,24.276,24.678,24.165,23.49,21.62
1975,21.859,25.161,27.796,30.134,28.589,25.659,24.154,24.559,24.499,24.695,22.376,21.04
1976,21.104,23.532,27.483,28.415,28.98,25.986,24.54,24.192,25.057,26.651,25.19,23.558
1977,22.862,25.395,28.063,28.778,28.272,26.155,24.041,24.315,25.79,25.195,24.837,21.684
1978,22.984,23.914,27.011,28.728,28.118,25.293,24.046,23.253,24.312,25.048,24.511,23.063
1979,23.217,24.476,27.472,29.686,28.431,26.446,24.995,24.14,24.407,25.975,24.034,23.289
1980,23.164,25.737,27.553,28.521,29.52,25.246,24.521,23.757,25.064,26.827,25.064,23.06
1981,22.518,25.376,27.073,29.583,28.594,25.734,24.894,24.123,24.556,25.421,24.042,22.562
1982,23.341,25.911,28.27,29.326,29.068,26.706,24.843,24.694,24.913,26.124,24.211,22.962
1983,22.891,24.567,28.128,30.199,30.244,27.461,25.144,24.763,24.46,24.792,23.115,22.739
1984,23.698,24.963,27.914,29.625,30.819,26.129,24.334,24.187,24.907,24.915,23.421,23.808
1985,24.198,25.474,28.369,29.594,29.058,25.852,24.42,24.492,25.647,24.837,24.413,24.064
1986,22.506,24.998,28.909,30.44,29.565,26.125,25.12,24.24,25.556,26.982,25.027,23.67
1987,23.56,24.687,27.877,30.418,29.153,27.015,25.339,25.172,26.471,25.54,24.273,22.674
1988,23.12,26.067,28.43,29.807,29.983,26.755,24.614,24.498,24.837,26.079,24.368,22.635
1989,23.218,24.87,26.809,29.869,29.872,25.804,24.435,24.168,24.717,25.876,24.258,22.774
1990,23.302,24.236,26.811,29.919,27.525,25.248,24.152,24.04,25.05,25.343,24.285,23.072
1991,23.638,25.456,28.703,29.06,29.519,26.009,23.859,24.416,25.666,25.653,24.272,22.39
1992,21.949,23.916,28.25,29.914,29.4,26.706,25.279,24.41,25.787,25.638,24.424,21.726
1993,23.189,24.033,26.793,30.123,29.761,27.346,24.783,24.428,24.787,25.308,24.534,21.613
1994,23.052,24.355,28.883,28.562,30.02,25.897,24.153,24.502,25.587,24.999,23.345,21.796
1995,21.238,24.915,27.882,30.362,28.662,28.139,24.888,25.799,25.573,25.416,24.551,23.445
1996,23.93,25.494,29.16,29.833,30.16,27.132,25.213,24.452,24.951,24.643,24.316,22.501
1997,22.205,23.823,28.085,28.42,29.608,27.268,25.024,24.59,25.427,26.173,25.468,24.544
1998,23.931,24.915,28.648,30.855,30.411,28.058,25.297,25.207,25.311,25.383,24.235,21.961
1999,21.991,26.013,28.683,30.223,28.855,25.642,24.54,24.597,24.78,25.452,24.125,22.441
2000,23.734,24.476,27.622,30.3,28.831,25.781,24.141,24.617,25.402,25.791,24.424,22.354
2001,23.46,25.807,27.49,29.847,29.866,26.346,24.728,24.373,25.598,25.133,25.008,22.916
2002,22.816,25.921,29.22,30.523,29.953,26.582,25.124,24.306,25.342,26.025,24.288,23.293
