Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,21.519,24.96,28.503,30.879,31.983,29.409,26.72,26.321,25.846,26.065,23.193,21.681
1963,22.183,24.287,28.742,30.071,32.317,28.016,26.807,25.416,26.392,26.068,24.039,22.728
1964,23.218,25.912,30.129,32.468,32.97,29.076,26.519,25.527,25.583,26.084,22.953,21.404
1965,23.018,25.16,28.728,30.989,32.448,29.209,26.183,26.721,26.656,26.998,24.857,23.842
1966,23.743,26.361,29.93,32.201,32.514,29.975,27.825,27.059,26.261,26.628,25.144,22.331
1967,23.223,25.494,28.662,32.19,33.118,29.677,26.572,26.316,26.147,26.035,23.742,23.967
1968,22.122,25.836,28.265,31.101,32.645,29.422,26.851,26.397,26.391,25.294,23.646,23.431
1969,23.225,26.607,30.972,33.321,32.78,30.036,26.907,26.841,25.755,26.332,25.096,22.19
1970,23.464,26.747,30.341,32.528,32.978,27.755,27.169,25.812,26.282,26.217,22.813,20.37
1971,22.645,26.177,28.511,32.545,31.859,27.711,27.934,27.003,27.114,25.813,22.602,20.978
1972,21.986,24.989,29.966,32.111,33.017,30.837,27.692,26.998,27.942,27.298,24.358,23.763
1973,24.37,26.932,30.51,33.997,34.626,29.292,26.61,25.661,26.315,25.742,23.063,22.608
1974,22.859,26.306,30.2,32.723,30.848,28.574,27.766,26.452,26.839,25.852,23.109,21.227
1975,21.983,25.712,29.003,32.925,33.37,28.675,26.693,26.316,25.956,26.538,22.146,20.469
1976,21.422,24.851,29.6,31.476,32.781,28.864,26.649,25.883,26.832,27.587,25.581,23.36
1977,23.059,26.413,30.149,31.605,31.76,29.415,27.387,26.282,27.142,26.775,25.91,22.061
1978,23.282,25.199,28.682,31.926,33.033,28.174,26.259,25.578,26.452,26.62,25.435,23.031
1979,24.184,25.955,29.018,32.233,31.988,30.798,27.968,26.495,26.856,27.363,25.382,23.215
1980,24.258,27.3,29.846,32.248,34.033,28.249,26.858,25.569,27.051,27.979,25.556,23.065
1981,22.678,26.657,28.87,32.42,32.753,29.152,27.348,25.935,26.195,26.538,23.916,22.673
1982,24.172,26.964,29.857,31.551,31.637,29.47,27.413,26.914,26.959,27.17,24.793,23.295
1983,23.295,26.426,30.288,32.554,33.791,30.818,27.814,26.573,26.117,25.942,23.358,22.412
1984,24.302,25.522,29.803,32.297,34.747,29.38,26.607,26.373,27.174,26.764,23.58,23.935
1985,24.788,26.691,30.827,32.749,33.435,28.311,26.884,26.72,27.914,25.799,24.326,23.731
1986,22.903,26.112,30.561,32.9,33.701,28.711,27.401,26.277,28.125,28.648,25.869,23.798
1987,24.327,25.667,29.505,32.946,32.046,30.212,27.306,26.932,28.696,27.093,24.938,22.808
1988,23.999,27.199,30.313,32.031,34.488,29.646,26.686,26.675,26.914,26.73,24.179,22.668
1989,23.809,25.652,28.348,32.527,33.95,28.456,26.612,26.068,26.719,27.019,24.988,22.8
1990,23.896,26.173,29.205,32.691,29.752,27.171,26.686,26.213,27.181,25.824,25.267,23.298
1991,24.012,26.668,30.458,32.122,33.801,28.409,26.395,26.536,27.987,27.454,24.446,22.663
1992,22.515,25.291,30.242,32.367,33.536,30.015,28.127,26.246,26.867,27.174,25.003,21.972
1993,24.04,25.129,29.06,32.341,33.814,30.681,27.385,26.402,26.643,26.775,24.743,21.324
1994,23.644,26.008,30.782,31.077,33.68,28.771,26.342,26.223,26.921,26.62,23.579,21.408
1995,21.43,25.903,29.311,31.987,31.361,31.098,27.273,27.887,27.339,26.578,25.212,23.864
1996,24.969,26.72,30.726,31.591,33.884,30.314,27.685,26.36,26.893,26.093,24.329,22.811
1997,22.441,24.978,29.515,30.159,32.526,29.945,27.547,26.67,26.952,26.958,26.566,24.923
1998,24.928,26.634,30.304,33.392,34.327,31.144,28.218,27.072,27.048,26.828,25.051,21.878
1999,22.607,26.723,30.452,33.23,31.721,28.247,27.027,26.381,26.158,26.583,24.617,22.658
2000,24.093,26.071,29.048,33.363,31.781,27.675,26.441,26.556,26.927,27.728,25.186,22.581
2001,24.123,27.064,29.834,31.969,33.624,28.387,27.276,26.177,27.714,26.538,25.466,23.333
2002,23.268,26.71,30.404,33.486,33.383,28.817,27.924,25.799,27.042,27.211,24.353,23.33
