Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,21.514,23.579,26.257,27.544,27.132,25.965,24.819,24.298,24.131,23.737,22.438,21.465
1963,21.063,22.678,26.195,27.43,27.927,25.444,25.134,24.42,24.769,24.185,22.973,21.607
1964,21.862,24.135,27.085,29.277,29.048,25.957,25.071,24.084,23.561,24.541,21.809,20.938
1965,21.266,23.441,26.399,27.555,28.212,26.009,24.546,24.392,24.689,25.325,23.544,22.128
1966,22.808,24.639,27.379,28.748,28.116,26.065,24.95,25.327,24.275,23.854,23.052,21.619
1967,21.659,23.157,25.866,28.553,28.268,25.814,23.744,23.824,23.916,23.222,22.458,22.128
1968,21.589,24.099,26.189,27.683,28.332,25.957,24.562,25.053,24.422,23.885,22.874,21.876
1969,21.766,24.511,27.639,29.074,28.01,26.28,24.67,24.931,24.088,23.854,23.122,21.333
1970,22.214,23.993,27.097,28.795,27.73,25.236,24.685,24.001,24.238,23.9,22.183,20.533
1971,21.96,23.968,25.825,28.125,27.368,24.457,24.625,24.446,24.454,23.556,22.095,20.655
1972,20.937,23.871,25.908,28.304,27.261,26.713,24.98,25.326,25.069,24.344,23.213,22.1
1973,22.52,24.497,27.005,29.44,28.867,25.751,25.275,23.87,24.551,24.147,22.414,21.026
1974,21.619,23.389,26.67,28.827,27.58,25.463,24.573,24.415,23.949,23.704,22.804,21.011
1975,21.47,24.6,26.903,29.13,28.036,25.33,23.93,24.398,23.759,23.619,21.949,20.64
1976,20.598,22.947,26.711,27.821,27.941,26.184,24.784,24.253,24.98,24.736,23.261,22.257
1977,21.783,24.224,26.684,28.422,26.738,25.23,24.697,24.251,25.016,23.897,23.293,21.597
1978,22.233,24.105,26.508,28.425,27.641,24.755,24.078,24.113,24.288,24.604,23.483,21.787
1979,22.339,24.667,26.793,28.967,27.787,25.918,24.016,24.779,24.095,24.311,23.04,22.352
1980,22.014,24.358,26.746,28.494,28.767,25.101,24.684,24.112,25.304,25.036,23.297,22.446
1981,22.51,24.363,26.528,28.815,27.913,25.434,25.208,23.942,23.908,24.29,22.97,21.276
1982,21.878,24.652,27.238,28.739,27.967,25.507,24.93,25,25.03,25.235,23.369,21.676
1983,21.956,25.719,28.034,29.363,28.732,26.231,25.492,24.573,23.988,24.349,22.83,21.648
1984,22.685,23.272,25.782,27.956,29.083,25.578,24.167,24.838,24.72,24.171,22.923,22.288
1985,22.693,24.861,27.376,29.084,28.677,25.077,24.405,24.694,25.2,24.035,22.433,22.342
1986,21.576,23.872,27.178,29.284,28.729,25.719,25.365,24.764,25.021,24.702,23.309,22.528
1987,22.363,23.417,26.215,28.835,28.31,26.174,25.961,24.98,25.949,24.726,23.66,22.082
1988,22.075,25.259,27.891,28.057,28.551,26.46,24.443,24.246,24.124,24.929,23.056,21.794
1989,21.993,23.72,26.083,28.516,28.559,25.543,24.22,24.604,24.555,25,23.202,22.026
1990,22.244,24.599,27.37,29.308,26.589,25.133,24.624,24.37,25.312,24.242,23.263,21.864
1991,23.093,24.588,27.803,28.62,28.683,25.269,24.389,24.375,25.261,24.592,22.513,21.609
1992,21.171,24.592,26.771,28.741,27.95,25.858,25.162,24.552,24.963,24.639,23.469,21.158
1993,22.022,23.79,26.994,28.91,28.678,26.122,25.156,24.853,24.417,24.217,23.02,21.189
1994,22.276,24.501,27.2,28.339,28.75,26.005,24.413,25.005,25.346,24.224,22.244,20.913
1995,22.067,24.748,26.827,28.902,27.177,26.975,24.846,24.888,24.84,24.551,24.303,21.92
1996,22.828,24.208,27.25,28.208,29.203,25.673,25.112,24.613,24.42,24.084,23.728,21.485
1997,22.234,24.345,26.806,27.344,28.389,27.064,25.523,25.012,25.244,24.893,24.193,22.65
1998,23.538,25.586,28.086,29.416,28.997,27.125,25.299,25.098,24.799,24.573,23.779,22.003
1999,22.33,24.394,27.732,28.64,26.759,25.419,24.74,24.94,25.16,24.693,23.394,21.798
2000,22.977,24.9,26.676,28.769,27.668,24.943,24.584,24.492,24.994,24.524,23.632,21.609
2001,22.965,25.811,27.675,28.636,28.462,25.749,25.399,24.625,25.463,24.263,23.732,21.914
2002,23.05,24.023,27.493,29.157,28.455,25.889,25.68,25.031,25.915,25.089,23.414,22.379
